Time,CPU Usage (%),RAM Usage
1693900508.8891666,0.0,6468220747.776
1693900508.904869,12.5,6469932024.528593
1693900508.9204974,20.0,6476868156.898148
1693900508.9360363,9.1,6510857026.016147
1693900508.95166,50.0,6515508421.87027
1693900508.9672902,10.0,6515408293.975171
1693900508.9829853,33.3,6515289961.008237
1693900508.9986074,25.0,6515262653.400482
1693900509.0141537,0.0,6515453806.654761
1693900509.0298064,9.1,6514916757.035597
1693900509.0454469,12.5,6513278300.570348
1693900509.0610244,57.1,6513733427.36625
1693900509.0766463,20.0,6516810084.506551
1693900509.092271,16.7,6521843786.869233
1693900509.1079562,0.0,6520806097.774575
1693900509.123641,22.2,6521060968.78028
1693900509.1392157,33.3,6536280408.83526
1693900509.1548376,12.5,6535461180.602635
1693900509.170454,9.1,6535233617.204684
1693900509.1860452,37.5,6535552205.961816
1693900509.2017014,14.3,6537909762.764591
1693900509.2173457,9.1,6539621039.517184
1693900509.2328806,25.0,6539502706.55025
1693900509.2485814,20.0,6539830397.8433
1693900509.264195,9.1,6543926539.006422
1693900509.2801175,22.2,6545392047.289228
1693900509.295195,37.5,6545765251.2618685
1693900509.311192,37.5,6546930375.859379
1693900509.3418572,28.6,6553083690.13998
1693900509.3574922,33.3,6556060219.385183
1693900509.3731792,25.0,6556406115.750069
1693900509.3888192,28.6,6562086098.162932
1693900509.4044406,12.5,6567720567.896205
1693900509.419989,30.0,6567538517.177844
1693900509.435598,37.5,6567993643.973746
1693900509.4512208,50.0,6568221207.371697
1693900509.4669242,28.6,6570769917.428752
1693900509.4824677,37.5,6570979275.754867
1693900509.498179,37.5,6569249793.930437
1693900509.5137162,36.4,6571844016.667082
1693900509.5293386,42.9,6577733357.40606
1693900509.5449605,37.5,6577897203.052585
1693900509.5605836,42.9,6577250923.002403
1693900509.576208,20.0,6569176973.643093
1693900509.5919092,50.0,6569186076.179011
1693900509.607454,50.0,6568639924.023928
1693900509.6230798,37.5,6568794667.134535
1693900509.6387002,50.0,6568976717.852896
1693900509.6543243,62.5,6569513767.472061
1693900509.6699474,100.0,6593052925.356138
1693900509.6855702,20.0,6593052925.356138
1693900509.7011929,72.7,6611694918.916305
1693900509.716824,25.0,6611694918.916305
1693900509.7324457,0.0,6611694918.916305
1693900509.7480645,62.5,6616337212.23451
1693900509.7636874,75.0,6616337212.23451
1693900509.7793112,50.0,6616346314.770429
1693900509.794934,50.0,6616346314.770429
1693900509.8105571,62.5,6621015915.696388
1693900509.8261807,62.5,6625676414.08643
1693900509.8418038,62.5,6625676414.08643
1693900509.857428,42.9,6625548978.583577
1693900509.8730502,14.3,6625476158.296232
1693900509.8886807,20.0,6629672427.354454
1693900509.9043076,14.3,6637491505.708058
1693900509.9199312,12.5,6648341728.522374
1693900509.9355469,50.0,6650854028.435756
1693900509.9511738,0.0,6653630301.890761
1693900509.9667978,33.3,6661467585.316202
1693900509.9824817,12.5,6664717190.638947
1693900509.9980805,9.1,6665145009.827095
1693900510.0137303,9.1,6666246416.673179
1693900510.029368,16.7,6535106181.701832
1693900510.0449748,12.5,6536671817.879736
1693900510.060597,14.3,6538219248.985805
1693900510.0762217,11.1,6539284245.688216
1693900510.0918157,20.0,6540813471.722449
1693900510.107476,20.0,6543216541.204814
1693900510.1230242,50.0,6547858834.52302
1693900510.1386902,50.0,6574720418.017185
1693900510.1543093,20.0,6577624126.975043
1693900510.1698928,14.3,6579344506.263555
1693900510.185587,20.0,6581638345.314903
1693900510.2012084,10.0,6582230010.149577
1693900510.216839,10.0,6583422442.354841
1693900510.2324634,10.0,6586690252.749421
1693900510.248085,33.3,6582466676.0834465
1693900510.263701,16.7,6582129882.254478
1693900510.2793343,11.1,6580955655.12105
1693900510.2949655,10.0,6580755399.3308525
1693900510.3105814,20.0,6580846424.690033
1693900510.3261993,14.3,6584651284.703778
1693900510.341826,12.5,6586854098.3959465
1693900510.3574412,12.5,6587172687.153078
1693900510.3729968,10.0,6588783836.010572
1693900510.3886218,25.0,6607890058.90256
1693900510.4042432,50.0,6618458103.1034155
1693900510.419867,62.5,6607271086.460133
1693900510.4354925,75.0,6606105961.862622
1693900510.451115,33.3,6606105961.862622
1693900510.4667394,45.5,6606397243.011999
1693900510.482362,40.0,6616446442.665526
1693900510.4979854,28.6,6639930985.334096
1693900510.5136216,10.0,6664717190.638947
1693900510.5292308,33.3,6671179991.140761
1693900510.5448554,28.6,6672053834.588895
1693900510.5604892,20.0,6671471272.290139
1693900510.5761113,8.3,6671471272.290139
1693900510.5917246,40.0,6670014866.543251
1693900510.6073625,14.3,6671034350.566072
1693900510.6229725,23.1,6671908194.014206
1693900510.6385956,50.0,6670451788.267318
1693900510.6542325,11.1,6671908194.014206
1693900510.6698503,50.0,6671908194.014206
1693900510.685465,15.4,6671179991.140761
1693900510.7011003,16.7,6671762553.439517
1693900510.7167122,22.2,6672345115.738272
1693900510.7324133,9.1,6670588326.306088
1693900510.7480242,16.7,6670333455.300383
1693900510.763646,9.1,6670333455.300383
1693900510.7792478,33.3,6672372423.346026
1693900510.7949018,33.3,6672654601.959486
1693900510.810451,15.4,6670360762.908137
1693900510.8260753,25.0,6678762403.560497
1693900510.8417711,25.0,6679344965.859253
1693900510.8573935,14.3,6679344965.859253
1693900510.872945,20.0,6680510090.456763
1693900510.8886356,20.0,6679053684.709875
1693900510.9042573,14.3,6679053684.709875
1693900510.9198155,13.3,6679927528.158008
1693900510.93551,20.0,6679927528.158008
1693900510.9511373,33.3,6679927528.158008
1693900510.9666843,12.5,6678762403.560497
1693900510.982381,50.0,6679927528.158008
1693900510.9979963,14.3,6679927528.158008
1693900511.0135653,14.3,6680801371.60614
1693900511.0292509,30.0,6680801371.60614
1693900511.0448797,25.0,6680801371.60614
1693900511.0604246,20.0,6679344965.859253
1693900511.076125,33.3,6680510090.456763
1693900511.0917635,10.0,6680510090.456763
1693900511.1072938,27.3,6678762403.560497
1693900511.122928,20.0,6683040595.441981
1693900511.1386173,11.1,6687655581.152432
1693900511.154164,16.7,6688329168.810368
1693900511.1698668,50.0,6687455325.362235
1693900511.185487,11.1,6687455325.362235
1693900511.2010343,20.0,6701090924.167474
1693900511.2167318,10.0,6710411920.947557
1693900511.2323542,20.0,6710411920.947557
1693900511.2479043,25.0,6708955515.200669
1693900511.263593,14.3,6721608040.126759
1693900511.2792182,20.0,6721608040.126759
1693900511.2947748,14.3,6757144340.350826
1693900511.3104737,10.0,6758892027.247092
1693900511.3260858,25.0,6758892027.247092
1693900511.341644,36.4,6756853059.201448
1693900511.3573494,25.0,6758600746.097714
1693900511.3729613,10.0,6758600746.097714
1693900511.3885136,20.0,6758892027.247092
1693900511.4042115,25.0,6757144340.350826
1693900511.41984,9.1,6757144340.350826
1693900511.4353838,28.6,6757726902.649582
1693900511.4510093,22.2,6757144340.350826
1693900511.4667048,14.3,6757144340.350826
1693900511.4822545,25.0,6757435621.500204
1693900511.4979455,16.7,6758018183.798959
1693900511.5135732,9.1,6758018183.798959
1693900511.5291238,33.3,6758600746.097714
1693900511.5448155,11.1,6756461650.156973
1693900511.5604565,10.0,6756461650.156973
1693900511.5760713,33.3,6756461650.156973
1693900511.591694,11.1,6756461650.156973
1693900511.6073198,12.5,6756461650.156973
1693900511.6229424,16.7,6756461650.156973
1693900511.638578,9.1,6756461650.156973
1693900511.654187,16.7,6756461650.156973
1693900511.6698074,9.1,6756461650.156973
1693900511.6854334,33.3,6756461650.156973
1693900511.7010462,7.7,6756461650.156973
1693900511.7166853,11.1,6756461650.156973
1693900511.732338,25.0,6752902558.613015
1693900511.74785,33.3,6687691991.296104
1693900511.7634745,20.0,6687628273.544678
1693900511.779079,100.0,6692052106.000851
1693900511.7950883,37.5,6708782567.018227
1693900511.810715,25.0,6711586148.080986
1693900511.8264415,0.0,6716119210.968175
1693900511.8423514,12.5,6725085208.847454
1693900511.8592784,30.0,6729354298.19302
1693900511.8749795,20.0,6730128013.746054
1693900511.8905928,12.5,6733505054.5716505
1693900511.9061515,22.2,6744855916.861459
1693900511.921771,10.0,6739931444.929793
1693900511.937463,50.0,6740668750.339156
1693900511.9530866,14.3,6741433363.356272
1693900511.9686413,0.0,6743408613.650489
1693900511.9840028,15.4,6746348732.752019
1693900512.0000615,12.5,6750017054.726994
1693900512.0252104,18.8,6756279599.438612
1693900512.0408454,50.0,6758837412.031584
1693900512.0565248,7.7,6765609698.754613
1693900512.0721571,14.3,6765627903.826448
1693900512.087773,10.0,6770734426.476475
1693900512.103407,50.0,6776186845.491387
1693900512.1190207,9.1,6776168640.419551
1693900512.1346498,14.3,6777151714.2987
1693900512.150267,14.3,6795584349.532752
1693900512.165898,14.3,6794055123.498519
1693900512.18152,10.0,6793609099.238535
1693900512.197085,14.3,6797149985.710656
1693900512.212779,10.0,6797049857.8155575
1693900512.2283874,14.3,6797068062.887394
1693900512.2439375,10.0,6797113575.566984
1693900512.25956,25.0,6799061518.253447
1693900512.2751825,25.0,6798770237.104069
1693900512.290806,25.0,6797605112.506558
1693900512.3064284,14.3,6797605112.506558
1693900512.3220534,53.3,6808673796.182907
1693900512.337676,12.5,6810712764.228551
1693900512.353299,16.7,6810712764.228551
1693900512.3689218,16.7,6810712764.228551
1693900512.3845468,10.0,6809256358.481663
1693900512.4001684,14.3,6809092512.835138
1693900512.415793,18.2,6809675075.133893
1693900512.431415,33.3,6809966356.283271
1693900512.4470384,14.3,6809966356.283271
1693900512.4626625,33.3,6810257637.432649
1693900512.4782853,16.7,6809675075.133893
1693900512.4939084,20.0,6809675075.133893
1693900512.509533,9.1,6810548918.582026
1693900512.525155,12.5,6810521610.974272
1693900512.5407784,33.3,6810521610.974272
1693900512.556416,22.2,6809702382.741647
1693900512.572025,9.1,6810230329.824894
1693900512.587649,25.0,6808773924.078006
1693900512.6032722,10.0,6808773924.078006
1693900512.618895,16.7,6808773924.078006
1693900512.6345186,25.0,6808773924.078006
1693900512.6501422,9.1,6808773924.078006
1693900512.665765,11.1,6808773924.078006
1693900512.6813889,40.0,6810230329.824894
1693900512.697012,10.0,6809647767.526139
1693900512.712635,42.9,6809647767.526139
1693900512.7282584,11.1,6809647767.526139
1693900512.7438824,8.3,6836445633.268878
1693900512.7595048,12.5,6836427428.197042
1693900512.7751288,50.0,6862351450.491649
1693900512.7907534,8.3,6873128853.01862
1693900512.806339,14.3,6873128853.01862
1693900512.822261,11.1,6871089884.972977
1693900512.8421452,16.7,6872837571.869243
1693900512.857751,28.6,6871381166.1223545
1693900512.873392,10.0,6871381166.1223545
1693900512.889014,20.0,6871381166.1223545
1693900512.9046366,25.0,6871381166.1223545
1693900512.9202695,7.7,6871381166.1223545
1693900512.935885,12.5,6871381166.1223545
1693900512.951441,28.6,6871381166.1223545
1693900512.9671304,12.5,6872255009.570487
1693900512.982757,16.7,6872255009.570487
1693900512.9983482,16.7,6872837571.869243
1693900513.013811,20.0,6871963728.421109
1693900513.029809,14.3,6871963728.421109
1693900513.0594614,14.3,6872837571.869243
1693900513.075086,14.3,6872837571.869243
1693900513.0906773,25.0,6871963728.421109
1693900513.1063323,12.5,6872837571.869243
1693900513.1219623,16.7,6868923481.42448
1693900513.1375933,14.3,6860895044.7447605
1693900513.1532023,20.0,6864235675.426685
1693900513.168837,33.3,6864235675.426685
1693900513.184451,8.3,6863944394.2773075
1693900513.200078,20.0,6863944394.2773075
1693900513.215668,14.3,6865400800.024196
1693900513.231319,14.3,6865109518.874818
1693900513.2469423,20.0,6865109518.874818
1693900513.2625723,11.1,6865109518.874818
1693900513.2781878,11.1,6864818237.72544
