Time,CPU Usage (%),RAM Usage
1693906320.5251155,0.0,7621973517.533184
1693906320.540739,75.0,7622024307.933184
1693906320.5563622,62.5,7622966797.533184
1693906320.5719898,50.0,7622578087.133184
1693906320.5876095,100.0,7622264743.133184
1693906320.603233,75.0,7622431040.733184
1693906320.6188664,50.0,7623407527.133184
1693906320.6344788,30.0,7624070669.533184
1693906320.650101,37.5,7624128832.733184
1693906320.6657245,37.5,7624240243.933184
1693906320.68135,60.0,7624534336.733184
1693906320.696972,27.3,7624748147.933184
1693906320.7125952,37.5,7624951719.133184
1693906320.728227,25.0,7624883315.933184
1693906320.7438512,25.0,7625086067.933184
1693906320.7594757,25.0,7625268749.533184
1693906320.7750883,28.6,7624914855.133184
1693906320.7907865,33.3,7624905434.333184
1693906320.8064103,25.0,7624922637.533184
1693906320.822043,18.2,7624841536.733184
1693906320.8375807,33.3,7624871847.133184
1693906320.8532054,25.0,7624947623.133184
1693906320.868828,22.2,7625055347.933184
1693906320.8844516,33.3,7625201984.733184
1693906320.9001102,12.5,7625310528.733184
1693906320.9156995,25.0,7625486656.733184
1693906320.9313238,37.5,7626716685.533184
1693906320.9469452,12.5,7626781402.333184
1693906320.962639,40.0,7626849395.933184
1693906320.978192,18.2,7626846119.133184
1693906320.9938152,25.0,7626774848.733184
1693906321.0094388,12.5,7626625344.733184
1693906321.0250616,25.0,7626606912.733184
1693906321.0406845,16.7,7626568410.333184
1693906321.0563126,7.7,7626549978.333184
1693906321.0719347,12.5,7626651968.733184
1693906321.087561,12.5,7626487309.533184
1693906321.1031785,12.5,7626466010.333184
1693906321.1188009,11.1,7626459047.133184
1693906321.1345017,50.0,7626510656.733184
1693906321.1501267,8.3,7626299712.733184
1693906321.1657488,10.0,7626296435.933184
1693906321.18137,33.3,7626293568.733184
1693906321.1969194,46.2,7626616743.133184
1693906321.2125423,50.0,7628006106.333184
1693906321.2281654,50.0,7628137997.533184
1693906321.24379,25.0,7628201895.133184
1693906321.259412,33.3,7628279309.533184
1693906321.275035,16.7,7628386624.733184
1693906321.2906587,28.6,7628313715.933184
1693906321.3062818,27.3,7628399322.333184
1693906321.321905,25.0,7628406695.133184
1693906321.3375285,28.6,7628437824.733184
1693906321.3531528,40.0,7628579136.733184
1693906321.368776,33.3,7628942861.533184
1693906321.3843992,28.6,7629032154.333184
1693906321.4000227,16.7,7629087859.933184
1693906321.4156451,33.3,7629191079.133184
1693906321.431269,20.0,7629509747.933184
1693906321.446892,40.0,7629687514.333184
1693906321.4625857,22.2,7629918528.733184
1693906321.478173,20.0,7629837427.933184
1693906321.4937625,33.3,7629842343.133184
1693906321.5093858,30.0,7629705127.133184
1693906321.525039,33.3,7629293888.733184
1693906321.540711,25.0,7629381543.133184
1693906321.556332,22.2,7629333210.333184
1693906321.5719538,33.3,7629388506.333184
1693906321.5875795,9.1,7629408576.733184
1693906321.6032023,12.5,7629341402.333184
1693906321.618827,14.3,7629350003.933184
1693906321.6344469,16.7,7629390144.733184
1693906321.6500638,12.5,7629365568.733184
1693906321.6656182,16.7,7629448307.933184
1693906321.6812444,10.0,7629410624.733184
1693906321.6968644,11.1,7629421274.333184
1693906321.7124882,11.1,7630282663.133184
1693906321.7281125,8.3,7630411277.533184
1693906321.7437348,33.3,7630432576.733184
1693906321.7593596,38.5,7630561600.733184
1693906321.775056,60.0,7630795891.933184
1693906321.7906053,25.0,7630884365.533184
1693906321.8062289,33.3,7630968743.133184
1693906321.8218522,20.0,7631101863.133184
1693906321.8374758,25.0,7631409063.133184
1693906321.853099,28.6,7631832589.533184
1693906321.8687222,20.0,7632096781.533184
1693906321.884347,33.3,7632435111.133184
1693906321.8999794,22.2,7632495322.333184
1693906321.9156003,33.3,7632372032.733184
1693906321.9312203,12.5,7633039680.733184
1693906321.946839,25.0,7633073677.533184
1693906321.962462,25.0,7633038042.333184
1693906321.9780862,20.0,7633051149.533184
1693906321.993718,50.0,7632979879.133184
1693906322.009333,11.1,7632929907.933184
1693906322.0249555,27.3,7633069991.133184
1693906322.0405796,25.0,7632936051.933184
1693906322.056202,16.7,7632953664.733184
1693906322.0718253,50.0,7632956531.933184
1693906322.0874493,20.0,7633005274.333184
1693906322.1030731,50.0,7632982336.733184
1693906322.1187031,33.3,7633268647.133184
1693906322.134319,28.6,7633953088.733184
1693906322.149942,18.2,7634664973.533184
1693906322.1655734,25.0,7634664973.533184
1693906322.1811883,28.6,7634514650.333184
1693906322.196813,44.4,7634567488.733184
1693906322.2124424,25.0,7634791539.933184
1693906322.2280655,9.1,7634532263.133184
1693906322.2436824,12.5,7634480243.933184
1693906322.2593057,16.7,7634466727.133184
1693906322.274928,14.3,7634486797.533184
1693906322.290552,11.1,7634533082.333184
1693906322.3061824,9.1,7634361459.933184
1693906322.3218057,50.0,7634089895.133184
1693906322.337423,35.7,7634056717.533184
1693906322.3530464,100.0,7633115047.133184
1693906322.3686686,33.3,7633119143.133184
1693906322.3843331,20.0,7633160512.733184
1693906322.3999162,18.2,7633252263.133184
1693906322.4155383,25.0,7633455424.733184
1693906322.4311628,37.5,7633346061.533184
1693906322.4467854,66.7,7633263731.933184
1693906322.4624174,16.7,7633228506.333184
1693906322.478041,22.2,7633371456.733184
1693906322.493663,28.6,7633702003.933184
1693906322.509294,27.3,7633592640.733184
1693906322.524768,25.0,7633597146.333184
1693906322.5397172,25.0,7633542259.933184
1693906322.5545974,25.0,7633561511.133184
1693906322.5706267,25.0,7633536115.933184
1693906322.5865617,37.5,7633546765.533184
1693906322.6172185,31.2,7633597146.333184
1693906322.6328423,25.0,7633590592.733184
1693906322.6484663,28.6,7633695450.333184
1693906322.6640933,20.0,7633761395.933184
1693906322.67975,22.2,7633855194.333184
1693906322.6953351,18.2,7634020672.733184
1693906322.7109642,25.0,7634200487.133184
1693906322.7265823,25.0,7634230387.933184
1693906322.7424932,20.0,7634246362.333184
1693906322.7581584,25.0,7634282407.133184
1693906322.7839634,18.8,7634534720.733184
1693906322.7995522,50.0,7634376615.133184
1693906322.8151832,9.1,7634403648.733184
1693906322.8308065,16.7,7634450343.133184
1693906322.8464327,7.7,7634504410.333184
1693906322.8619778,25.0,7634510963.933184
1693906322.8776014,8.3,7634493760.733184
1693906322.893302,33.3,7634008794.333184
1693906322.908922,7.7,7634126349.533184
1693906322.9245396,12.5,7635462055.133184
1693906322.9400926,37.5,7635465741.533184
1693906322.9557166,37.5,7635542336.733184
