Time,CPU Usage (%),RAM Usage
1693845070.431581,8.35,5261334937.6
1693845070.4880474,16.7,5289596868.268349
1693845070.5445137,15.5,5316251084.317838
1693845070.60098,14.3,5342905300.367328
1693845070.6574461,13.4,5530754061.097065
1693845070.7139125,12.5,5718602821.826802
1693845070.7703788,13.4,5804573245.656267
1693845070.8268452,14.3,5890543669.485733
1693845070.8833115,11.3,5893843715.282336
1693845070.9397779,8.3,5897143761.078939
1693845070.996244,16.65,5915505554.357477
1693845071.0527103,25.0,5933867347.636014
1693845071.1091766,20.85,5934121197.312676
1693845071.165643,16.7,5934375046.989338
1693845071.2221093,19.049999999999997,5914320922.533055
1693845071.2785757,21.4,5894266798.076773
1693845071.3350418,20.7,5898328392.903361
1693845071.391508,20.0,5902389987.72995
1693845071.4479744,18.35,5892236000.663478
1693845071.5044408,16.7,5882082013.597006
1693845071.5609071,27.6,5884705126.922511
1693845071.6173735,38.5,5887328240.248016
1693845071.6738396,29.25,5887243623.689129
1693845071.730306,20.0,5887159007.130241
1693845071.7867723,10.0,5897397610.755602
1693845071.8432386,0.0,5907636214.38096
1693845071.899705,3.55,5898159159.785587
1693845071.9561713,7.1,5888682105.190212
1693845072.0126374,13.55,5899005325.374459
1693845072.0691037,20.0,5909328545.558706
1693845072.12557,21.55,5923459510.89288
1693845072.1820364,23.1,5937590476.227055
1693845072.2385027,28.2,5971437099.781961
1693845072.294969,33.3,6005283723.336869
1693845072.3514352,22.9,6056984440.816991
1693845072.4079015,12.5,6108685158.297112
1693845072.4643679,10.1,6119769927.511344
1693845072.5208342,7.7,6130854696.725576
1693845072.5773005,10.1,6205909584.458584
1693845072.633767,12.5,6280964472.191592
1693845072.6902332,18.75,6358473240.13233
1693845072.7466993,25.0,6435982008.073069
1693845072.8031657,20.85,6448082175.993948
1693845072.859632,16.7,6460182343.914827
1693845072.9160984,15.5,6484128830.079925
1693845072.9725647,14.3,6508075316.245022
1693845073.029031,12.7,6561299131.785114
1693845073.0854971,11.1,6614522947.325207
1693845073.1419635,10.1,6626369265.569424
1693845073.1984298,9.1,6638215583.813642
1693845073.2548962,9.1,6640923313.698034
1693845073.3113625,9.1,6643631043.582427
1693845073.3678288,10.8,6658692791.064361
1693845073.424295,12.5,6673754538.546294
1693845073.4807613,18.75,6649215736.4689865
1693845073.5372276,25.0,6624676934.391679
1693845073.593694,18.75,6627384664.276072
1693845073.6501603,12.5,6630092394.160463
1693845073.7066267,14.6,6630092394.160463
1693845073.7630928,16.7,6630092394.160463
1693845073.819559,19.049999999999997,6642869494.552442
1693845073.8760254,21.4,6655646594.944419
1693845073.9324918,25.0,6799071662.25834
1693845073.9889581,28.6,6942496729.572261
1693845074.0454245,33.05,6977781834.628252
1693845074.1018906,37.5,7013066939.684243
1693845074.158357,25.9,7037859591.438213
1693845074.2148232,14.3,7062652243.192183
1693845074.2712896,12.7,6396466075.072714
1693845074.327756,11.1,5730279906.953245
1693845074.3842223,11.8,5783165256.257789
1693845074.4406884,12.5,5836050605.562331
1693845074.4971547,16.25,5840281433.506695
1693845074.553621,20.0,5844512261.451058
1693845074.6100874,18.35,5845866126.393254
1693845074.6665537,16.7,5847219991.335451
1693845074.72302,20.85,5761334184.064873
1693845074.7794864,25.0,5675448376.794294
1693845074.8359525,18.05,5692033222.3362
1693845074.8924189,11.1,5708618067.878104
1693845074.9488852,5.55,5668679052.083313
1693845075.0053515,0.0,5628740036.288523
1693845075.061818,8.35,5635678594.117278
1693845075.1182842,16.7,5642617151.946034
1693845075.1747503,15.5,5821750407.110383
1693845075.2312167,14.3,6000883662.274732
1693845075.287683,7.15,6005283723.336869
1693845075.3441494,0.0,6009683784.399008
1693845075.4006157,0.0,6013491529.548935
1693845075.457082,0.0,6017299274.698862
1693845075.5135481,4.55,6026099396.823137
1693845075.5700145,9.1,6034899518.947413
1693845075.6264808,14.55,6027537878.324221
1693845075.6829472,20.0,6020176237.701029
1693845075.7394135,15.0,6047084303.42718
1693845075.7958798,10.0,6073992369.153332
1693845075.852346,17.5,6098192704.9950905
1693845075.9088123,25.0,6122393040.836849
1693845075.9652786,17.5,6138554803.584318
1693845076.021745,10.0,6154716566.331786
1693845076.0782113,13.35,6159793559.865023
1693845076.1346776,16.7,6164870553.398259
1693845076.1911438,12.5,6171555261.550353
1693845076.24761,8.3,6178239969.702447
1693845076.3040764,16.65,6192624784.713283
1693845076.3605428,25.0,6207009599.724119
1693845076.417009,18.75,6192201701.918846
1693845076.4734755,12.5,6177393804.113575
1693845076.5299416,13.4,6172993743.051436
1693845076.586408,14.3,6168593681.989299
1693845076.6428742,12.7,6177393804.113575
1693845076.6993406,11.1,6186193926.23785
1693845076.755807,9.4,6172570660.257
1693845076.8122733,7.7,6158947394.27615
1693845076.8687396,9.4,6185178527.531203
1693845076.9252057,11.1,6211409660.786257
1693845076.981672,13.899999999999999,6213271225.081777
1693845077.0381384,16.7,6215132789.377296
1693845077.0946047,13.35,6215809721.848394
1693845077.151071,10.0,6216486654.319492
1693845077.2075374,17.5,6405435430.314764
1693845077.2640035,25.0,6594384206.310036
1693845077.3204699,19.65,6644984908.524623
1693845077.3769362,14.3,6695585610.73921
1693845077.4334025,15.5,6699054889.653588
1693845077.4898689,16.7,6702524168.567966
1693845077.5463352,18.35,6726809120.968613
1693845077.6028013,20.0,6751094073.369259
1693845077.6592677,22.5,6776817507.270988
1693845077.715734,25.0,6802540941.172718
1693845077.7722003,31.25,6835372166.020978
1693845077.8286667,37.5,6868203390.869239
1693845077.885133,37.5,6930988877.563592
1693845077.9415991,37.5,6993774364.257946
1693845077.9980655,43.75,7032021048.874991
1693845078.0545318,50.0,7070267733.492037
1693845078.1109982,41.65,7294501614.5433
1693845078.1674645,33.3,7518735495.594563
1693845078.2239308,27.75,7468727109.292187
1693845078.280397,22.2,7418718722.989811
1693845078.3368633,27.75,6693047113.972591
1693845078.3933296,33.3,5967375504.955373
1693845078.449796,23.799999999999997,5962552361.098799
1693845078.5062623,14.3,5957729217.242224
1693845078.5627286,13.4,5990052742.737161
1693845078.6191947,12.5,6022376268.232098
1693845078.675661,12.5,6012729980.5189495
1693845078.7321274,12.5,6003083692.8058
1693845078.7885938,18.75,5983283418.026179
1693845078.84506,25.0,5963483143.246558
1693845078.9015265,22.5,5967544738.073148
1693845078.9579928,20.0,5971606332.899736
1693845079.014459,20.0,5971606332.899736
1693845079.0709252,20.0,5971606332.899736
1693845079.1273916,24.3,6309480252.536601
1693845079.183858,28.6,6647354172.173467
1693845079.2403243,20.55,6649384969.586761
1693845079.2967906,12.5,6651415767.000055
1693845079.3532567,14.6,6653446564.41335
1693845079.409723,16.7,6655477361.826645
1693845079.4661894,13.35,6644392592.612412
1693845079.5226557,10.0,6633307823.39818
1693845079.579122,5.0,6648369570.880114
1693845079.6355884,0.0,6663431318.362047
1693845079.6920545,8.35,6673162222.634084
1693845079.7485209,16.7,6682893126.906119
1693845079.8049872,15.5,6693554813.325915
1693845079.8614535,14.3,6704216499.745711
1693845079.9179199,23.799999999999997,6707685778.6600895
1693845079.9743862,33.3,6711155057.574468
1693845080.0308523,21.2,6714116637.135522
1693845080.0873187,9.1,6717078216.696576
1693845080.143785,11.7,6733070746.32627
1693845080.2002513,14.3,6749063275.955964
1693845080.2567177,11.3,6795856233.020624
1693845080.313184,8.3,6842649190.085283
1693845080.3696501,11.3,6858895569.391639
1693845080.4261165,14.3,6875141948.697994
1693845080.4825828,19.65,6897565336.803122
