Time,CPU Usage (%),RAM Usage
1693900546.6007495,0.0,7318624272.384
1693900546.6163752,37.5,7318509198.847704
1693900546.6320343,25.0,7310245674.903409
1693900546.647619,16.7,7308759049.218286
1693900546.6632426,14.3,7308292534.88195
1693900546.6788657,10.0,7307651855.193382
1693900546.694489,11.1,7305508999.341813
1693900546.7101126,20.0,7306155899.221532
1693900546.7257352,12.5,7305935082.435666
1693900546.7413676,20.0,7305795128.134766
1693900546.756986,14.3,7304230750.060253
1693900546.772619,25.0,7303036473.359234
1693900546.78823,0.0,7304734585.543496
1693900546.803859,10.0,7304504438.470903
1693900546.8194754,11.1,7304504438.470903
1693900546.8351357,0.0,7304386254.839031
1693900546.850723,20.0,7304171658.244317
1693900546.8663454,20.0,7303558969.41593
1693900546.8819687,10.0,7302557518.640595
1693900546.8975928,10.0,7301755113.982098
1693900546.9132173,0.0,7300467534.413811
1693900546.9288476,14.3,7299789533.578337
1693900546.9444623,11.1,7298293577.606486
1693900546.9600854,14.3,7297422750.845326
1693900546.97571,11.1,7297033988.898379
1693900546.9913323,20.0,7295774400.190273
1693900547.006956,16.7,7295127500.310554
1693900547.0225787,10.0,7294928454.193717
1693900547.038202,16.7,7294549022.533498
1693900547.053826,16.7,7293283213.63424
1693900547.0694487,11.1,7293239672.296182
1693900547.0850725,12.5,7293090387.708554
1693900547.1006954,14.3,7293040626.179345
1693900547.1163192,9.1,7292735836.81294
1693900547.1319418,11.1,7292067166.264192
1693900547.1475654,20.0,7292067166.264192
1693900547.1631925,30.0,7292092047.028796
1693900547.1788142,66.7,7287156325.350363
1693900547.194436,37.5,7285445772.783798
1693900547.2101333,37.5,7279178930.199021
1693900547.2256825,50.0,7284064890.348245
1693900547.2413075,33.3,7283875174.518135
1693900547.256929,25.0,7283806752.415472
1693900547.2725525,36.4,7283589045.725183
1693900547.2881756,33.3,7282699558.390569
1693900547.303868,20.0,7273966410.014362
1693900547.3194222,30.0,7274025501.830298
1693900547.3350546,40.0,7273095583.253202
1693900547.3506696,36.4,7273493675.486876
1693900547.3662994,42.9,7271422351.833545
1693900547.3819194,44.4,7270756791.380372
1693900547.397543,37.5,7265780638.459457
1693900547.41317,25.0,7265065316.477076
1693900547.4287858,37.5,7265077756.859378
1693900547.4444091,14.3,7265354555.365604
1693900547.4600916,0.0,7264872490.551391
1693900547.4757247,16.7,7264592581.949589
1693900547.491328,10.0,7262829157.75824
1693900547.5069706,0.0,7262654992.406008
1693900547.5225985,0.0,7262701643.839642
1693900547.5381668,25.0,7262910020.243204
1693900547.553772,50.0,7260882237.927932
1693900547.569396,50.0,7258549666.246253
1693900547.5850196,62.5,7258052050.954162
1693900547.6006424,75.0,7257952527.895743
1693900547.6162653,50.0,7260596109.134979
1693900547.6319575,33.3,7260596109.134979
1693900547.647581,16.7,7260596109.134979
1693900547.6632314,20.0,7261093724.427071
1693900547.6788468,40.0,7260966210.508472
1693900547.694383,11.1,7260966210.508472
1693900547.710075,20.0,7260966210.508472
1693900547.725697,14.3,7260966210.508472
1693900547.7413335,11.1,7260966210.508472
1693900547.7569704,11.1,7260966210.508472
1693900547.772568,14.3,7260966210.508472
1693900547.7881937,14.3,7260966210.508472
1693900547.8038218,7.7,7261115495.0961
1693900547.8194394,11.1,7261314541.212936
1693900547.835075,25.0,7261314541.212936
1693900547.8506851,25.0,7261314541.212936
1693900547.8663092,16.7,7261115495.0961
1693900547.88193,11.1,7260916448.979263
1693900547.8975549,12.5,7260916448.979263
1693900547.9131773,33.3,7260913338.883687
1693900547.9288013,9.1,7260913338.883687
1693900547.9444234,22.2,7260913338.883687
1693900547.96005,16.7,7260913338.883687
1693900547.975681,10.0,7260913338.883687
1693900547.9912932,22.2,7260764054.29606
1693900548.0069196,11.1,7261062623.471314
1693900548.0225468,16.7,7261062623.471314
1693900548.0381677,8.3,7261062623.471314
1693900548.0537198,50.0,7261062623.471314
1693900548.069343,16.7,7261460715.7049885
1693900548.0849662,12.5,7261460715.7049885
1693900548.1005893,8.3,7261460715.7049885
1693900548.1162124,10.0,7261460715.7049885
1693900548.1318362,16.7,7261460715.7049885
1693900548.147459,12.5,7261460715.7049885
1693900548.1630828,16.7,7261460715.7049885
1693900548.1787064,28.6,7261261669.588152
1693900548.1943295,14.3,7260813815.825269
1693900548.209953,7.7,7259171685.361367
1693900548.225576,14.3,7259181015.648094
1693900548.249159,20.0,7267684016.951708
1693900548.2647104,33.3,7267982586.126963
1693900548.2804298,40.0,7268477091.323479
1693900548.29543,12.5,7268477091.323479
1693900548.3114295,12.5,7268477091.323479
1693900548.3422446,12.5,7268601495.146502
1693900548.3578649,20.0,7268601495.146502
1693900548.3734994,9.1,7268750779.734129
1693900548.3891098,25.0,7268750779.734129
1693900548.4047415,25.0,7268701018.20492
1693900548.4203577,12.5,7268701018.20492
1693900548.4359455,22.2,7268402449.029665
1693900548.4516034,14.3,7268302925.971247
1693900548.467239,11.1,7268302925.971247
1693900548.4828532,10.0,7268324696.640275
1693900548.49817,11.1,7268324696.640275
1693900548.514169,12.5,7268324696.640275
1693900548.5418928,30.8,7268225173.581857
1693900548.5575094,11.1,7268473981.227902
1693900548.5731382,12.5,7270066350.162596
1693900548.5887544,14.3,7270097451.118351
1693900548.6043897,25.0,7270047689.589142
1693900548.620011,16.7,7269699358.884678
1693900548.6356268,10.0,7269696248.789103
1693900548.651259,20.0,7269696248.789103
1693900548.666872,7.7,7269696248.789103
1693900548.6824958,20.0,7269696248.789103
1693900548.698118,12.5,7269696248.789103
1693900548.7137425,16.7,7269696248.789103
1693900548.7292964,7.7,7269845533.37673
1693900548.7449903,25.0,7269845533.37673
1693900548.760612,9.1,7269845533.37673
1693900548.77624,20.0,7269845533.37673
1693900548.791867,23.1,7270392910.19803
1693900548.8074832,25.0,7270243625.610403
1693900548.8231049,12.5,7270243625.610403
1693900548.838737,20.0,7270243625.610403
1693900548.8543675,14.3,7270243625.610403
1693900548.86998,16.7,7270243625.610403
1693900548.8856044,22.2,7270243625.610403
1693900548.901221,22.2,7269795771.847521
1693900548.916851,20.0,7270392910.19803
1693900548.932469,8.3,7270392910.19803
1693900548.9481075,16.7,7270392910.19803
1693900548.9637237,22.2,7269945056.435148
1693900548.9793408,12.5,7269994817.964357
1693900548.9949622,9.1,7269994817.964357
1693900549.0105157,33.3,7269994817.964357
1693900549.0262082,14.3,7269994817.964357
1693900549.041831,16.7,7269994817.964357
1693900549.057454,10.0,7269994817.964357
1693900549.0730789,16.7,7269994817.964357
1693900549.0887008,10.0,7270144102.551985
1693900549.1043258,20.0,7270144102.551985
1693900549.1199338,14.3,7270144102.551985
1693900549.135505,14.3,7270144102.551985
1693900549.15113,22.2,7269795771.847521
1693900549.1668203,20.0,7269574955.061655
1693900549.182449,20.0,7269574955.061655
1693900549.198077,11.1,7269235954.643918
1693900549.2136989,25.0,7261787275.740423
1693900549.2293112,9.1,7261787275.740423
1693900549.2449343,33.3,7261787275.740423
1693900549.2605584,15.4,7262085844.915678
1693900549.2761812,12.5,7261905459.372294
1693900549.2918737,22.2,7259370731.478204
1693900549.3078609,14.3,7259370731.478204
1693900549.3238614,12.5,7259669300.653459
1693900549.3433616,25.0,7259768823.711877
1693900549.3589854,10.0,7259768823.711877
1693900549.3746078,11.1,7259765713.616302
1693900549.3902452,14.3,7259765713.616302
1693900549.4058566,12.5,7259765713.616302
1693900549.4214437,16.7,7259765713.616302
1693900549.4371076,25.0,7259417382.911838
1693900549.452728,25.0,7259914998.203929
1693900549.4683645,11.1,7259914998.203929
1693900549.4839845,14.3,7259914998.203929
1693900549.49943,27.3,7262362643.421904
1693900549.5154233,25.0,7262844708.236117
1693900549.5421662,14.3,7262844708.236117
1693900549.557777,11.1,7262844708.236117
1693900549.573404,16.7,7262857148.61842
1693900549.589039,12.5,7262857148.61842
1693900549.6046429,11.1,7262857148.61842
1693900549.620277,9.1,7262857148.61842
1693900549.6358905,16.7,7262857148.61842
1693900549.6515217,33.3,7262857148.61842
1693900549.6671407,14.3,7262857148.61842
1693900549.6827588,9.1,7262857148.61842
1693900549.698383,14.3,7262857148.61842
1693900549.7140138,8.3,7262857148.61842
1693900549.7296395,20.0,7262857148.61842
1693900549.745257,11.1,7262857148.61842
1693900549.7608838,20.0,7262857148.61842
1693900549.7764988,22.2,7262857148.61842
1693900549.7921245,14.3,7262857148.61842
1693900549.8077486,11.1,7262857148.61842
1693900549.8233695,12.5,7262857148.61842
1693900549.8389995,11.1,7262857148.61842
1693900549.8546226,16.7,7262857148.61842
1693900549.8702445,11.1,7262857148.61842
1693900549.8858676,12.5,7262854038.522844
1693900549.9014902,18.2,7263224139.8963375
1693900549.917041,44.4,7287688151.693786
1693900549.932665,37.5,7287713032.45839
1693900549.948289,12.5,7287327380.607019
1693900549.9639826,20.0,7286584067.764458
1693900549.9795656,16.7,7286098892.854669
1693900549.995228,10.0,7285368020.394409
1693900550.0108566,20.0,7283533064.004822
1693900550.0264869,11.1,7281925144.592251
1693900550.042062,10.0,7281452410.064764
1693900550.0577226,11.1,7280161720.400902
1693900550.0733645,14.3,7279872481.512374
1693900550.088967,14.3,7280146169.923024
