Time,CPU Usage (%),RAM Usage
1693906405.3123944,0.0,6488920064
1693906405.3280225,0.0,6489579520
1693906405.343734,10.0,6491140096
1693906405.3593285,10.0,6493700096
1693906405.3749473,16.7,6493794304
1693906405.3905368,27.3,6493724672
1693906405.4061916,25.0,6493880320
1693906405.421824,11.1,6496288768
1693906405.4373708,12.5,6493417472
1693906405.4530792,14.3,6493548544
1693906405.4686856,8.3,6494023680
1693906405.4843147,20.0,6494019584
1693906405.4999337,0.0,6495248384
1693906405.515488,23.1,6497550336
1693906405.53111,25.0,6499856384
1693906405.5467336,10.0,6488363008
1693906405.5623682,20.0,6492147712
1693906405.5779893,12.5,6494605312
1693906405.5936036,11.1,6495764480
1693906405.6092944,12.5,6497505280
1693906405.6249204,14.3,6497091584
1693906405.6405444,11.1,6496706560
1693906405.6561663,14.3,6497087488
1693906405.6717923,12.5,6498013184
1693906405.6874123,12.5,6497300480
1693906405.7030346,16.7,6497341440
1693906405.718668,9.1,6499590144
1693906405.7342927,14.3,6498516992
1693906405.749913,10.0,6498799616
1693906405.7655425,28.6,6498910208
1693906405.78116,16.7,6507417600
1693906405.7967887,33.3,6527152128
1693906405.812331,25.0,6542929920
1693906405.828023,14.3,6559145984
1693906405.8436465,18.2,6573162496
1693906405.8592715,25.0,6590128128
1693906405.8748243,25.0,6601957376
1693906405.8905187,40.0,6613086208
1693906405.906148,18.2,6632202240
1693906405.9217725,25.0,6643306496
1693906405.9373174,50.0,6652821504
1693906405.9530144,33.3,6660673536
1693906405.968566,22.2,6665207808
1693906405.9841938,22.2,6672461824
1693906405.99989,40.0,6681083904
1693906406.015435,27.3,6690594816
1693906406.0310898,40.0,6715113472
1693906406.0466802,18.2,6726782976
1693906406.0623732,16.7,6736281600
1693906406.0779853,36.4,6751948800
1693906406.093623,50.0,6770458624
1693906406.1092434,22.2,6781259776
1693906406.1248739,25.0,6790602752
1693906406.1404917,25.0,6803595264
1693906406.1561189,22.2,6821724160
1693906406.1717393,28.6,6820290560
1693906406.1873682,25.0,6819901440
1693906406.2029927,22.2,6820716544
1693906406.2186193,25.0,6821662720
1693906406.2342403,25.0,6819827712
1693906406.2498546,28.6,6820286464
1693906406.2654898,22.2,6820286464
1693906406.2811,25.0,6821937152
1693906406.296736,33.3,6819823616
1693906406.312349,25.0,6820093952
1693906406.3279822,22.2,6820163584
1693906406.343524,72.7,6820802560
1693906406.3591511,50.0,6835339264
1693906406.3747704,37.5,6846808064
1693906406.3903947,42.9,6842966016
1693906406.4060192,22.2,6833852416
1693906406.4216404,50.0,6825332736
1693906406.4372637,42.9,6805090304
1693906406.4528873,30.0,6763859968
1693906406.4685102,33.3,6690357248
1693906406.4841375,37.5,6651932672
1693906406.4997582,75.0,6656847872
1693906406.5151825,75.0,6651387904
1693906406.530131,50.0,6654197760
1693906406.5450826,50.0,6662111232
1693906406.5610297,37.5,6676062208
1693906406.5839403,35.3,6681210880
1693906406.599566,37.5,6689947648
1693906406.6151822,37.5,6696931328
1693906406.6308079,33.3,6707691520
1693906406.646432,25.0,6723067904
1693906406.6620524,22.2,6732513280
1693906406.6776779,22.2,6740656128
1693906406.6933002,40.0,6755700736
1693906406.7089221,18.2,6769901568
1693906406.7245474,25.0,6779559936
1693906406.7398937,28.6,6788890624
1693906406.7558398,30.0,6789156864
1693906406.7845442,28.6,6791290880
1693906406.8001688,28.6,6793187328
1693906406.8157818,22.2,6794317824
1693906406.8314059,28.6,6794907648
1693906406.8470345,22.2,6795792384
1693906406.8626604,28.6,6795722752
1693906406.8782916,25.0,6796046336
1693906406.8939066,28.6,6796070912
1693906406.909536,20.0,6779441152
1693906406.9251447,30.0,6780727296
1693906406.9407735,50.0,6770806784
1693906406.9563985,33.3,6759092224
1693906406.9720168,25.0,6737608704
1693906406.9876466,20.0,6689161216
1693906407.0031934,50.0,6638047232
1693906407.018816,50.0,6568542208
1693906407.0344396,37.5,6569623552
1693906407.050133,40.0,6554898432
1693906407.065686,33.3,6565261312
1693906407.081309,25.0,6573334528
1693906407.0969326,23.1,6595878912
1693906407.1125562,33.3,6604439552
1693906407.1281793,37.5,6612721664
1693906407.1438723,28.6,6621900800
1693906407.159426,20.0,6639927296
1693906407.1750493,22.2,6654394368
1693906407.1906729,25.0,6658478080
1693906407.2062957,28.6,6669258752
1693906407.22192,40.0,6670434304
1693906407.2375429,30.0,6679371776
1693906407.2531743,28.6,6692478976
1693906407.2687972,28.6,6702354432
1693906407.2844217,25.0,6712872960
1693906407.3001053,18.2,6729658368
1693906407.315661,28.6,6739718144
1693906407.331283,22.2,6749888512
1693906407.346906,42.9,6761299968
1693906407.3625293,20.0,6778789888
1693906407.3781528,33.3,6790180864
1693906407.3937762,33.3,6799179776
1693906407.409408,8.3,6811783168
1693906407.4250226,33.3,6826647552
1693906407.4406457,20.0,6828081152
1693906407.4562776,40.0,6829871104
1693906407.471892,18.2,6830362624
1693906407.487516,40.0,6829629440
1693906407.5031393,18.2,6830047232
1693906407.5187628,25.0,6829867008
1693906407.5343862,25.0,6829346816
1693906407.549822,25.0,6829412352
1693906407.5657687,40.0,6829412352
1693906407.5817168,22.2,6830596096
1693906407.6014972,33.3,6830030848
1693906407.61712,22.2,6830030848
1693906407.6327448,22.2,6830030848
1693906407.6483636,60.0,6832640000
1693906407.6639874,62.5,6848323584
1693906407.6796136,33.3,6834040832
1693906407.6952374,40.0,6830776320
1693906407.71086,37.5,6819602432
1693906407.7264833,37.5,6794412032
1693906407.7421067,50.0,6748422144
1693906407.7573879,42.9,6700392448
1693906407.7733374,44.4,6645239808
1693906407.8010073,31.2,6627192832
1693906407.8166795,40.0,6635495424
1693906407.8322928,33.3,6635257856
1693906407.8478441,35.7,6642839552
1693906407.8635404,40.0,6657257472
1693906407.8791637,25.0,6669934592
1693906407.8947868,22.2,6679584768
1693906407.9104054,25.0,6685323264
1693906407.926046,33.3,6692667392
1693906407.9416542,42.9,6708441088
1693906407.9572892,33.3,6721716224
1693906407.972831,22.2,6728880128
1693906407.9884536,33.3,6729318400
1693906408.004077,22.2,6729646080
1693906408.0197022,33.3,6729908224
1693906408.0353942,40.0,6730301440
1693906408.0510283,22.2,6730780672
1693906408.0666468,33.3,6730850304
1693906408.0821939,30.0,6731460608
1693906408.0979,28.6,6731485184
1693906408.1135132,22.2,6731771904
1693906408.1291428,25.0,6727389184
1693906408.144758,25.0,6700777472
1693906408.160389,28.6,6650449920
1693906408.1760051,25.0,6554767360
1693906408.1915581,20.0,6544166912
1693906408.2072506,16.7,6511173632
1693906408.2228715,11.1,6511312896
1693906408.2384996,14.3,6515499008
1693906408.2541306,10.0,6514663424
1693906408.2697432,33.3,6505517056
1693906408.2853696,8.3,6505594880
1693906408.3009202,40.0,6506033152
1693906408.3165443,50.0,6516158464
1693906408.3322446,33.3,6534160384
1693906408.3478591,14.3,6545383424
1693906408.3634472,28.6,6556000256
1693906408.379117,22.2,6574985216
1693906408.394747,27.3,6588211200
1693906408.410354,33.3,6597693440
1693906408.4259467,25.0,6611460096
1693906408.4416003,28.6,6626418688
1693906408.4572256,22.2,6640156672
1693906408.4728522,25.0,6648958976
1693906408.4884684,25.0,6659485696
1693906408.5040941,28.6,6660136960
1693906408.5197268,22.2,6668914688
1693906408.535357,28.6,6682693632
1693906408.5509667,11.1,6692347904
1693906408.5665221,28.6,6706241536
1693906408.5822098,40.0,6721110016
1693906408.5978346,20.0,6734114816
1693906408.6134589,28.6,6745292800
1693906408.629091,12.5,6758301696
1693906408.6446338,27.3,6773354496
1693906408.6603303,25.0,6787764224
1693906408.6759505,25.0,6794055680
1693906408.6915743,25.0,6794420224
1693906408.7071967,28.6,6795522048
1693906408.7228231,20.0,6797668352
1693906408.7384458,14.3,6795591680
1693906408.75408,25.0,6796079104
1693906408.7696218,33.3,6796849152
1693906408.7853138,33.3,6797881344
1693906408.8009503,28.6,6798217216
1693906408.816565,22.2,6798438400
1693906408.8321967,25.0,6799417344
1693906408.8478067,33.3,6801604608
1693906408.8634317,22.2,6779187200
1693906408.8793733,22.2,6762479616
1693906408.895321,20.0,6727340032
1693906408.9111993,25.0,6676316160
1693906408.9262197,50.0,6653636608
1693906408.9508297,50.0,6578814976
1693906408.9664845,33.3,6592806912
1693906408.9821532,30.0,6561869824
1693906408.9976983,25.0,6569136128
1693906409.0133934,40.0,6594793472
1693906409.02899,12.5,6600773632
1693906409.0446033,25.0,6609031168
1693906409.0601914,27.3,6616809472
1693906409.0758827,40.0,6638211072
1693906409.0915132,25.0,6645784576
1693906409.1071298,25.0,6653726720
1693906409.1227534,22.2,6673416192
1693906409.138377,33.3,6682669056
1693906409.154013,33.3,6682869760
1693906409.169626,16.7,6686326784
1693906409.1852107,28.6,6693826560
1693906409.2008746,25.0,6714290176
1693906409.2164247,54.5,6721662976
1693906409.2321239,28.6,6729134080
1693906409.247751,40.0,6743052288
